Year,Month,Container Size,Origin,Destination,Rate,Date
2013,Oct,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1890,Oct 2013
2013,Nov,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Nov 2013
2013,Nov,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,Nov 2013
2013,Nov,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1560,Nov 2013
2013,Nov,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1890,Nov 2013
2013,Dec,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),680,Dec 2013
2013,Dec,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),860,Dec 2013
2013,Dec,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1560,Dec 2013
2013,Dec,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1890,Dec 2013
2014,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),690,Jan 2014
2014,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),900,Jan 2014
2014,Jan,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1330,Jan 2014
2014,Jan,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Jan 2014
2014,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),720,Feb 2014
2014,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),940,Feb 2014
2014,Feb,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1330,Feb 2014
2014,Feb,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Feb 2014
2014,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Mar 2014
2014,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),900,Mar 2014
2014,Mar,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1330,Mar 2014
2014,Mar,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Mar 2014
2014,Apr,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,Apr 2014
2014,Apr,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),900,Apr 2014
2014,Apr,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1330,Apr 2014
2014,Apr,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Apr 2014
2014,May,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,May 2014
2014,May,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),870,May 2014
2014,May,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1330,May 2014
2014,May,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,May 2014
2014,Jun,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),640,Jun 2014
2014,Jun,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),870,Jun 2014
2014,Jun,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1330,Jun 2014
2014,Jun,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1650,Jun 2014
2014,Jul,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),630,Jul 2014
2014,Jul,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),860,Jul 2014
2014,Jul,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Jul 2014
2014,Jul,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Jul 2014
2014,Aug,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,Aug 2014
2014,Aug,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),860,Aug 2014
2014,Aug,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Aug 2014
2014,Aug,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Aug 2014
2014,Sep,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),650,Sep 2014
2014,Sep,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),820,Sep 2014
2014,Sep,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Sep 2014
2014,Sep,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Sep 2014
2014,Oct,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Oct 2014
2014,Oct,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),820,Oct 2014
2014,Oct,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Oct 2014
2014,Oct,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Oct 2014
2014,Nov,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),660,Nov 2014
2014,Nov,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,Nov 2014
2014,Nov,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Nov 2014
2014,Nov,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Nov 2014
2014,Dec,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),700,Dec 2014
2014,Dec,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),880,Dec 2014
2014,Dec,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Dec 2014
2014,Dec,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Dec 2014
2015,Jan,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),680,Jan 2015
2015,Jan,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),890,Jan 2015
2015,Jan,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1360,Jan 2015
2015,Jan,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1700,Jan 2015
2015,Feb,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,Feb 2015
2015,Feb,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),890,Feb 2015
2015,Feb,20ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1510,Feb 2015
2015,Feb,40ft container,U.S. Mid West (Chicago via LA-LB),Central China (Shanghai),1900,Feb 2015
2015,Mar,20ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),670,Mar 2015
2015,Mar,40ft container,U.S. West Coast (Los Angeles),Central China (Shanghai),840,Mar 2015
