Country,PurchaseOrderDate,Type,Product,Variant,SupplierCountry,Quantity,Value,Freight,Air,BDI,Doses,Distance,Volume,StorageCondition,Openness,Weight,TotalWeight
Colombia,2022-03-15,Vaccine,602,1,United States of America,250000,137500.0,83600.0,211.7,2358,1,15290.56,86.4,"Between +2° C and + 8° C, must not be frozen",1.8,0.017583333,4395.83325
Colombia,2022-03-15,Vaccine,8205,1,India,250000,810000.0,110139.0,211.7,2358,1,4021.171,188.1,"Between +2° C and + 8° C, can also be frozen",1.8,0.043333333,10833.33325
Colombia,2022-03-15,Vaccine,8205,1,India,250000,810000.0,110139.0,211.7,2358,1,4021.171,188.1,"Between +2° C and + 8° C, can also be frozen",1.8,0.043333333,10833.33325
Colombia,2022-03-15,Vaccine,8205,1,India,300000,972000.0,131806.0,211.7,2358,1,4021.171,188.1,"Between +2° C and + 8° C, can also be frozen",1.8,0.043333333,12999.9999
Colombia,2022-03-15,Vaccine,7405,1,India,400000,420000.0,116900.0,211.7,2358,1,15290.56,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.8,0.0209999999999999,8399.99999999996
Colombia,2022-03-15,Vaccine,7405,1,India,400000,420000.0,116900.0,211.7,2358,1,15290.56,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.8,0.0209999999999999,8399.99999999996
Colombia,2022-03-15,Vaccine,7405,1,India,350000,367500.0,102200.0,211.7,2358,1,15290.56,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.8,0.0209593402799999,7335.769097999965
Colombia,2022-03-15,Vaccine,7405,1,India,350000,367500.0,102200.0,211.7,2358,1,15290.56,93.08203125,"Between +2° C and + 8° C, must not be frozen",1.8,0.0209593402799999,7335.769097999965
Dominican Republic,2022-03-15,Vaccine,1103,1,United States of America,270000,3915000.0,34000.0,211.7,2358,1,2508.955,144.58170008333332,"Between +2° C and + 8° C, must not be frozen",2.6,0.020411111,5510.99997
Colombia,2022-03-16,Vaccine,8205,1,India,300000,972000.0,131806.0,211.7,2358,1,4021.171,188.1,"Between +2° C and + 8° C, can also be frozen",1.8,0.043333333,12999.9999
Honduras,2022-03-18,Vaccine,8201,1,Belgium,5000,25000.0,6023.0,211.7,2358,1,8916.339,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",3.8,0.026041667,130.208335
Ecuador,2022-03-21,Vaccine,7010,10,India,598000,67275.0,31500.0,211.7,2358,10,15952.83,186.1640625,"Between +2° C and + 8° C, must not be frozen",1.4,0.038368056,2294.4097488
Ecuador,2022-03-21,Vaccine,7010,10,India,522000,58725.0,27100.0,211.7,2358,10,15952.83,186.1640625,"Between +2° C and + 8° C, must not be frozen",1.4,0.038368056,2002.8125232
Turks and Caicos,2022-03-21,Vaccine,8201,1,Belgium,1600,8000.0,2545.0,211.7,2358,1,7174.894,134.58859374999997,"Between +2° C and + 8° C, can also be frozen",3.3,0.026041667,41.6666672
